n,mean_ratio,sem
8.086530000000000000e+05,1.315065659041932511e+00,4.533260889217952095e-04
8.284470000000000000e+05,1.315690488744522657e+00,4.325202834779077999e-04
8.487250000000000000e+05,1.315892841458052631e+00,4.154575353047230100e-04
8.694990000000000000e+05,1.317822772838081580e+00,4.143518057270607316e-04
8.907830000000000000e+05,1.317708441082287019e+00,4.415166126065288516e-04
9.125870000000000000e+05,1.316502390979112258e+00,4.164558238452151749e-04
9.349230000000000000e+05,1.315261305248290880e+00,4.077862590951784601e-04
9.578090000000000000e+05,1.315969527451247290e+00,4.057865677660118793e-04
9.812530000000000000e+05,1.315732951620834479e+00,4.128298417430867188e-04
1.005271000000000000e+06,1.316434730745314585e+00,4.042805033143767471e-04
1.029877000000000000e+06,1.316641553318918856e+00,3.982367114223472481e-04
1.055085000000000000e+06,1.316976063846902356e+00,3.857676154768429071e-04
1.080911000000000000e+06,1.316758948482438907e+00,3.729826831931836134e-04
1.107369000000000000e+06,1.316758826467586463e+00,3.586871361622534591e-04
1.134473000000000000e+06,1.316049865138507746e+00,3.856290822310682177e-04
1.162243000000000000e+06,1.316774152230619555e+00,3.631174587537615815e-04
1.190691000000000000e+06,1.318307136928094536e+00,3.544019253182881485e-04
1.219835000000000000e+06,1.317925528461624918e+00,3.682741867281077259e-04
1.249693000000000000e+06,1.317867221735462779e+00,3.451542297031393990e-04
1.280283000000000000e+06,1.316605053543281834e+00,3.681863670355017652e-04
1.311621000000000000e+06,1.316946591486367613e+00,3.424784440952105395e-04
1.343725000000000000e+06,1.316232348566898080e+00,3.521615384624271852e-04
1.376615000000000000e+06,1.316538346681895399e+00,3.538716167916166559e-04
1.410311000000000000e+06,1.317608395192367388e+00,3.731111888417622409e-04
1.444831000000000000e+06,1.317164067138912431e+00,3.365442349968980618e-04
1.480197000000000000e+06,1.317090449626928006e+00,3.418956287050394101e-04
1.516429000000000000e+06,1.317274215532012738e+00,3.399461352755094230e-04
1.553547000000000000e+06,1.317190358065756239e+00,3.111386550710132501e-04
1.591573000000000000e+06,1.317046564225025307e+00,3.029409159665290481e-04
1.630529000000000000e+06,1.317017698835591943e+00,3.232785076882203792e-04
1.670441000000000000e+06,1.317872124819355673e+00,3.019400251276513694e-04
1.711329000000000000e+06,1.316876402401298884e+00,3.316578695517518509e-04
1.753217000000000000e+06,1.317948787292783530e+00,3.021317347936149219e-04
1.796131000000000000e+06,1.317252816251241354e+00,3.065712919469513716e-04
1.840095000000000000e+06,1.317193049878846889e+00,3.152485909063685557e-04
1.885135000000000000e+06,1.317826570024574817e+00,3.134262806454128918e-04
1.931277000000000000e+06,1.317607354448575130e+00,3.071970232923452050e-04
1.978551000000000000e+06,1.316605857421943471e+00,2.910302228218045292e-04
2.026979000000000000e+06,1.318121032224278677e+00,3.036336227514217041e-04
2.076595000000000000e+06,1.317432025655202121e+00,2.950849275425212873e-04
2.127423000000000000e+06,1.317249498052694756e+00,2.909116935363514293e-04
2.179497000000000000e+06,1.317009674388806673e+00,3.012497688394874789e-04
2.232845000000000000e+06,1.318197161869743450e+00,2.810886245311668835e-04
2.287499000000000000e+06,1.317750958262575489e+00,2.770598251098728058e-04
2.343489000000000000e+06,1.317569938107044925e+00,2.723605000324667413e-04
2.400851000000000000e+06,1.318666782288896222e+00,2.667629617365361444e-04
2.459617000000000000e+06,1.317604795443862331e+00,2.789132626769462117e-04
2.519821000000000000e+06,1.317536684371581224e+00,2.982998388479212717e-04
2.581501000000000000e+06,1.318325511286725593e+00,2.612316158583594334e-04
2.644687000000000000e+06,1.318134818318646984e+00,2.606819970295750234e-04
2.709423000000000000e+06,1.318098736491593037e+00,2.734735995425966013e-04
2.775741000000000000e+06,1.317982762599774205e+00,2.754284920886285052e-04
2.843683000000000000e+06,1.318495384163853146e+00,2.698770880914187265e-04
2.913289000000000000e+06,1.318124081385704915e+00,2.602568037912627121e-04
2.984599000000000000e+06,1.318192737067492626e+00,2.632101500295726368e-04
3.057653000000000000e+06,1.318173897469636424e+00,2.579039655609565210e-04
3.132495000000000000e+06,1.318436281269593779e+00,2.616428310930524778e-04
3.209169000000000000e+06,1.318665054029043437e+00,2.464874372169525161e-04
